Title,Description,Priority,Estimate,Team,Project,Status,Labels
Add Supabase Dependencies & Configuration,"**Category**: Infrastructure
**Priority**: P0
**Effort Estimate**: S
**Module Affected**: Core
**Problem Statement**: The project lacks the required Supabase dependencies despite being designated as a Supabase project.
**Root Cause Analysis**: Initial project setup missed backend integration.
**Suggested Direction**: Add `supabase_flutter` to `pubspec.yaml`. Initialize `Supabase.initialize` in `main.dart` with environment variables.
**Code References**: `pubspec.yaml`, `lib/main.dart`
**Acceptance Criteria**: App compiles with Supabase dependency. `SupabaseClient` is accessible via GetIt.
**Testing Recommendations**: Verify initialization in `main.dart`.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 1
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",High,1,Core,Sprint Guru Audit,Todo,Infrastructure
Implement Supabase Authentication Repository,"**Category**: Security
**Priority**: P0
**Effort Estimate**: M
**Module Affected**: Auth
**Problem Statement**: No user authentication exists.
**Root Cause Analysis**: Missing backend integration.
**Suggested Direction**: Create `AuthRepository` interfacing with `Supabase.auth`. Implement `signIn`, `signUp`, `signOut`, `userStream`.
**Code References**: `lib/core/data/repositories/auth_repository.dart` (New)
**Acceptance Criteria**: Users can sign up and sign in. User session persists.
**Testing Recommendations**: Integration tests with Supabase Auth.
**Risk Level**: High (Security)
**Sprint Recommendation**: Sprint 1
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",High,3,Core,Sprint Guru Audit,Todo,Security
Define Supabase Database Schema,"**Category**: Backend
**Priority**: P0
**Effort Estimate**: M
**Module Affected**: Backend
**Problem Statement**: No database schema exists for Accounts, Expenses, etc.
**Root Cause Analysis**: Missing backend.
**Suggested Direction**: Create SQL migration scripts for: `profiles`, `accounts`, `categories`, `expenses`, `incomes`. Use UUIDs.
**Code References**: `supabase/migrations/`
**Acceptance Criteria**: Tables created in Supabase.
**Testing Recommendations**: Manual verification in Supabase Dashboard.
**Risk Level**: High
**Sprint Recommendation**: Sprint 1
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",High,3,Backend,Sprint Guru Audit,Todo,Backend
Implement RLS Policies,"**Category**: Security
**Priority**: P0
**Effort Estimate**: M
**Module Affected**: Backend
**Problem Statement**: Data must be isolated per user.
**Root Cause Analysis**: Missing backend.
**Suggested Direction**: Enable RLS on all tables. Create policies: `auth.uid() == user_id`.
**Code References**: `supabase/migrations/`
**Acceptance Criteria**: Users can only CRUD their own data.
**Testing Recommendations**: SQL tests or integration tests with multiple users.
**Risk Level**: Critical
**Sprint Recommendation**: Sprint 1
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Urgent,3,Backend,Sprint Guru Audit,Todo,Security
Implement OutboxItem Entity & Hive Box,"**Category**: Architecture
**Priority**: P0
**Effort Estimate**: S
**Module Affected**: Core/Sync
**Problem Statement**: Offline changes need to be queued for sync.
**Root Cause Analysis**: Missing sync strategy.
**Suggested Direction**: Create `OutboxItem` (id, type, payload, action, timestamp). Register Hive adapter.
**Code References**: `lib/core/sync/data/models/outbox_item.dart` (New)
**Acceptance Criteria**: Can save/retrieve items from `outbox` Hive box.
**Testing Recommendations**: Unit tests for Model/Adapter.
**Risk Level**: Medium
**Sprint Recommendation**: Sprint 1
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",High,1,Core,Sprint Guru Audit,Todo,Architecture
Implement Synchronization Service (Worker),"**Category**: Architecture
**Priority**: P0
**Effort Estimate**: L
**Module Affected**: Core/Sync
**Problem Statement**: No mechanism to push local changes to the cloud.
**Root Cause Analysis**: Missing sync strategy.
**Suggested Direction**: Create `SyncService`. Watch connectivity. On connect, process `outbox` queue FIFO. Handle conflicts (Client Wins or Server Wins).
**Code References**: `lib/core/sync/services/sync_service.dart` (New)
**Acceptance Criteria**: Offline changes sync to Supabase when online.
**Testing Recommendations**: Integration tests mocking network state.
**Risk Level**: High
**Sprint Recommendation**: Sprint 1
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",High,5,Core,Sprint Guru Audit,Todo,Architecture
Refactor ExpenseRepository to Use Outbox,"**Category**: Refactoring
**Priority**: P1
**Effort Estimate**: M
**Module Affected**: Expenses
**Problem Statement**: Expenses are only saved locally.
**Root Cause Analysis**: Missing sync integration.
**Suggested Direction**: In `addExpense`, `updateExpense`, `deleteExpense`: write to local Hive box AND add an entry to `outbox` Hive box.
**Code References**: `lib/features/expenses/data/repositories/expense_repository_impl.dart`
**Acceptance Criteria**: CRUD operations create Outbox items.
**Testing Recommendations**: Unit verify Outbox write.
**Risk Level**: Medium
**Sprint Recommendation**: Sprint 2
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Medium,3,Expenses,Sprint Guru Audit,Todo,Refactoring
Refactor IncomeRepository to Use Outbox,"**Category**: Refactoring
**Priority**: P1
**Effort Estimate**: M
**Module Affected**: Income
**Problem Statement**: Income is only saved locally.
**Root Cause Analysis**: Missing sync integration.
**Suggested Direction**: Similar to ExpenseRepository, wrap writes with Outbox logic.
**Code References**: `lib/features/income/data/repositories/income_repository_impl.dart`
**Acceptance Criteria**: CRUD operations create Outbox items.
**Testing Recommendations**: Unit verify Outbox write.
**Risk Level**: Medium
**Sprint Recommendation**: Sprint 2
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Medium,3,Income,Sprint Guru Audit,Todo,Refactoring
Implement Groups Domain Layer,"**Category**: Feature
**Priority**: P1
**Effort Estimate**: S
**Module Affected**: Groups
**Problem Statement**: Missing business logic for Groups.
**Root Cause Analysis**: Incomplete feature.
**Suggested Direction**: Create `Group` entity, `GroupRepository` interface, `CreateGroup`, `GetGroups` usecases.
**Code References**: `lib/features/groups/domain/`
**Acceptance Criteria**: Domain entities and interfaces defined.
**Testing Recommendations**: Unit tests for usecases.
**Risk Level**: Low
**Sprint Recommendation**: Sprint 3
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Medium,1,Groups,Sprint Guru Audit,Todo,Feature
Implement Groups Data Layer,"**Category**: Feature
**Priority**: P1
**Effort Estimate**: M
**Module Affected**: Groups
**Problem Statement**: No data storage for Groups.
**Root Cause Analysis**: Incomplete feature.
**Suggested Direction**: Implement `GroupRepositoryImpl`. Use Supabase directly (groups are shared, so maybe less offline-first or optimistic UI).
**Code References**: `lib/features/groups/data/`
**Acceptance Criteria**: Can fetch/create groups from Supabase.
**Testing Recommendations**: Integration tests.
**Risk Level**: Medium
**Sprint Recommendation**: Sprint 3
*Advisory: Suggested solution is directional. Developers must evaluate best frameworks, patterns, and implementation strategies before applying changes.*",Medium,3,Groups,Sprint Guru Audit,Todo,Feature
